DATE,A939RX0Q048SBEA
1947-01-01,14203.0
1947-04-01,14101.0
1947-07-01,14008.0
1947-10-01,14161.0
1948-01-01,14316.0
1948-04-01,14495.0
1948-07-01,14515.0
1948-10-01,14464.0
1949-01-01,14202.0
1949-04-01,14098.0
1949-07-01,14182.0
1949-10-01,13999.0
1950-01-01,14490.0
1950-04-01,14879.0
1950-07-01,15388.0
1950-10-01,15612.0
1951-01-01,15759.0
1951-04-01,15968.0
1951-07-01,16223.0
1951-10-01,16181.0
1952-01-01,16288.0
1952-04-01,16259.0
1952-07-01,16306.0
1952-10-01,16765.0
1953-01-01,17013.0
1953-04-01,17082.0
1953-07-01,16908.0
1953-10-01,16574.0
1954-01-01,16425.0
1954-04-01,16376.0
1954-07-01,16485.0
1954-10-01,16726.0
1955-01-01,17132.0
1955-04-01,17341.0
1955-07-01,17496.0
1955-10-01,17516.0
1956-01-01,17376.0
1956-04-01,17449.0
1956-07-01,17352.0
1956-10-01,17550.0
1957-01-01,17583.0
1957-04-01,17473.0
1957-07-01,17566.0
1957-10-01,17305.0
1958-01-01,16793.0
1958-04-01,16839.0
1958-07-01,17154.0
1958-10-01,17475.0
1959-01-01,17734.0
1959-04-01,18064.0
1959-07-01,18000.0
1959-10-01,17972.0
1960-01-01,18268.0
1960-04-01,18060.0
1960-07-01,18059.0
1960-10-01,17756.0
1961-01-01,17816.0
1961-04-01,18049.0
1961-07-01,18319.0
1961-10-01,18598.0
1962-01-01,18863.0
1962-04-01,18967.0
1962-07-01,19126.0
1962-10-01,19111.0
1963-01-01,19257.0
1963-04-01,19410.0
1963-07-01,19761.0
1963-10-01,19814.0
1964-01-01,20169.0
1964-04-01,20324.0
1964-07-01,20567.0
1964-10-01,20558.0
1965-01-01,20997.0
1965-04-01,21205.0
1965-07-01,21604.0
1965-10-01,22030.0
1966-01-01,22510.0
1966-04-01,22528.0
1966-07-01,22650.0
1966-10-01,22766.0
1967-01-01,22911.0
1967-04-01,22869.0
1967-07-01,23020.0
1967-10-01,23129.0
1968-01-01,23551.0
1968-04-01,23889.0
